Species,Family,n,Positive,Negative
Plutella ,Plutellidae,10,0,10
Plutella ,Plutellidae,5,0,5
Plutella ,Plutellidae,5,2,3
Plutella ,Plutellidae,10,0,10
Polites ,Hesperiidae,1,1,0
Polites ,Hesperiidae,1,1,0
Polygonia,Nymphalidae,85,82,3
Polygonia,Nymphalidae,2,1,1
Polytremis ,Hesperiidae,1,0,1
Polyura ,Nymphalidae,1,0,1
Poritia ,Lycaenidae,1,0,1
Poritia,Lycaenidae,1,0,1
Precis,Nymphalidae,2,1,1
Pseudaletis ,Lycaenidae,1,0,1
Pseudalmenus ,Lycaenidae,1,0,1
Pseudonacaduba,Lycaenidae,1,0,1
Pseudozizeeria ,Lycaenidae,2,2,0
Ptelina ,Lycaenidae,1,0,1
Pyrgus ,Hesperiidae,7,1,6
Rapala,Lycaenidae,1,0,1
Rathinda ,Lycaenidae,1,0,1
Salatura ,Nymphalidae,4,0,4
Sarcopolia,Noctuidae,10,5,5
Schinia ,Noctuidae,1,1,0
Scirpophaga ,Crambidae,20,2,18
Scirpophaga ,Crambidae,NA,NA,NA
Sesamia ,Noctuidae,22,0,22
Sesamia ,Noctuidae,4,0,4
Simiskina ,Lycaenidae,1,0,1
Sinthusa ,Lycaenidae,1,0,1
Spalgis ,Lycaenidae,1,1,0
Spalgis ,Lycaenidae,1,0,1
Speyeria ,Nymphalidae,1,1,0
Speyeria,Nymphalidae,1,1,0
Speyeria,Nymphalidae,1,1,0
Speyeria,Nymphalidae,1,1,0
Speyeria ,Nymphalidae,66,2,64
Spilosoma ,Arctiidae,NA,NA,NA
Spodoptera ,Noctuidae,59,43,16
Spodoptera ,Noctuidae,NA,NA,NA
Strymon ,Lycaenidae,1,0,1
Strymon ,Lycaenidae,1,0,1
Surendra ,Lycaenidae,1,0,1
Surendra,Lycaenidae,1,1,0
Talicada ,Lycaenidae,60,30,30
Talicada ,Lycaenidae,3,3,0
Tanaecia,Nymphalidae,1,0,1
Taractrocera ,Hesperiidae,2,1,1
Tarucus ,Lycaenidae,1,1,0
Telicota ,Hesperiidae,1,0,1
Terias ,Pieridae,NA,NA,NA
Thecla ,Lycaenidae,1,0,1
Theritas ,Lycaenidae,1,0,1
Thersamonia ,Lycaenidae,1,1,0
Thestor ,Lycaenidae,1,0,1
Tholera ,Noctuidae,1,0,1
Thymelicus ,Hesperiidae,15,15,0
